time,bee1_id,bee2_id,task_id,task_1,task_2
3045.1317598603114,1,1,1,0.2556,0.6198909035033805
3045.768101888447,1,1,2,0.1709,0.7224569760295021
3047.663032585383,2,1,2,0.5093,0.18319760295021512
3047.7718630017375,1,1,1,0.2619,0.6305316533497234
3047.8243700371418,1,1,1,0.29,0.5575445605408728
3048.5357341265762,1,1,2,0.2018,0.709818684695759
3051.566663572234,1,1,1,0.2874,0.6026429010448678
3051.738340738582,1,2,1,0.2874,0.6026429010448678
3052.588063183985,1,1,2,0.2062,0.7108942839582053
3053.4928066956404,1,2,1,0.2062,0.7108942839582053
3053.621687099429,2,1,2,0.5093,0.18319760295021512
3053.6462540480657,1,1,2,0.1902,0.7233789182544561
3054.6463808700305,2,1,2,0.5093,0.18319760295021512
3059.44795914531,1,1,2,0.1847,0.7204210202827289
3062.1375925041616,1,1,2,0.1697,0.7219191763982791
3062.2365172713708,2,1,2,0.5093,0.18319760295021512
3062.6760098636696,1,2,1,0.1697,0.7219191763982791
3063.2683118199348,1,2,1,0.1697,0.7219191763982791
3064.7180130711677,1,1,2,0.1682,0.7275276582667486
3065.318181935308,2,1,2,0.5093,0.18319760295021512
3065.9062098298587,1,1,2,0.1632,0.7260295021511985
3066.5039809145624,2,1,2,0.5093,0.18319760295021512
3066.8550181071496,1,2,1,0.1632,0.7260295021511985
3069.4099345299196,1,1,2,0.1618,0.7240703749231715
3069.61866804307,2,2,1,0.5038,0.1817378610940381
3070.2758725340436,2,1,2,0.5038,0.1817378610940381
3070.3514121818694,2,1,2,0.5038,0.1817378610940381
3071.2966778509344,1,1,2,0.1617,0.7267977873386601
3073.6050589460624,2,2,1,0.5047,0.18388905961893054
3073.608590503625,1,2,1,0.1617,0.7267977873386601
3073.792007503504,2,2,1,0.5094,0.17478488014751076
3073.8966369116242,2,2,1,0.507,0.18004763368162263
3073.942741946857,2,1,2,0.507,0.18004763368162263
3076.165913469461,1,2,1,0.1617,0.7267977873386601
3077.2571445046237,2,2,1,0.5011,0.1593423478795329
3078.239766715218,1,1,2,0.1654,0.7250307314074985
3078.369421989059,1,1,2,0.1559,0.7250307314074985
3078.5110284872694,2,1,2,0.5011,0.1593423478795329
3078.647392336612,1,2,1,0.1559,0.7250307314074985
3079.4608694519393,2,1,2,0.5011,0.1593423478795329
3079.5710056345524,1,2,1,0.1559,0.7250307314074985
3079.8373512362637,1,2,1,0.1559,0.7250307314074985
3080.987058632606,2,1,2,0.5011,0.1593423478795329
3081.020921854866,1,1,2,0.1569,0.7244929317762754
3081.286189098536,1,1,2,0.1561,0.7274508297480025
3081.371231886702,2,2,1,0.5067,0.178779963122311
3084.766336241883,1,1,2,0.156,0.7247618315918869
3085.4301342661206,2,1,2,0.5067,0.178779963122311
3085.6861373407396,1,2,1,0.156,0.7247618315918869
3086.9428658965094,1,2,1,0.156,0.7247618315918869
3088.987616398779,2,1,2,0.5067,0.178779963122311
3089.1131223306875,1,1,2,0.1571,0.7292562999385371
3089.6932681515123,2,1,2,0.5067,0.178779963122311
3091.3543781187695,2,1,2,0.5067,0.178779963122311
3091.889429384158,1,2,1,0.1571,0.7292562999385371
3093.7408913242116,1,1,2,0.1545,0.7282959434542102
3093.814408269759,1,1,2,0.1563,0.7267593730792871
3100.0094941839848,2,1,2,0.5067,0.178779963122311
3101.5871679347165,1,1,2,0.1496,0.7233789182544561
3102.2003624663057,2,2,1,0.5085,0.17497695144437614
3103.5675583722755,2,1,2,0.5085,0.17497695144437614
3107.7281842919656,2,2,1,0.5052,0.17094345421020282
3108.6022830056163,1,1,2,0.1514,0.7264136447449293
3110.927300449285,2,1,2,0.5052,0.17094345421020282
3111.4206034546114,1,1,1,0.2651,0.6116318377381684
3112.7882275560146,2,1,2,0.5052,0.17094345421020282
3112.8205048451127,1,2,1,0.2651,0.6116318377381684
3113.1794101061796,2,2,1,0.5056,0.17755070682237248
3113.8561064833775,1,2,1,0.2651,0.6116318377381684
3114.9197517464113,1,2,1,0.2651,0.6116318377381684
3117.74348091873,1,2,1,0.2651,0.6116318377381684
3119.2779790224877,1,1,2,0.1754,0.7240319606637984
3120.60447325325,1,1,2,0.1688,0.7289105716041795
3122.741669166038,2,2,1,0.5088,0.1644898586355255
3123.6652114980047,2,1,2,0.5088,0.1644898586355255
3124.4769056888294,1,1,2,0.1634,0.7262984019668101
3124.744124494709,2,1,2,0.5088,0.1644898586355255
3125.072179093917,2,1,2,0.5088,0.1644898586355255
3125.1692817476337,2,2,1,0.5079,0.1720958819913952
3127.8901809004096,2,1,2,0.5079,0.1720958819913952
3127.9104194074066,1,1,1,0.2632,0.6316456668715427
3128.3237186035262,1,2,1,0.2632,0.6316456668715427
3129.1768598630792,2,2,1,0.5085,0.1746696373693915
3129.791345827528,2,2,1,0.5086,0.16948371235402582
3132.5038566132225,2,1,2,0.5086,0.16948371235402582
3133.2141514769437,1,2,1,0.2632,0.6316456668715427
3133.7786171957887,2,1,2,0.5086,0.16948371235402582
3134.6686998510704,1,2,1,0.2632,0.6316456668715427
3135.056683740372,1,2,1,0.2632,0.6316456668715427
3136.6862435883045,1,1,2,0.1792,0.723839889366933
3136.8541052584465,2,2,1,0.5084,0.17651352181929933
3137.376883645987,1,1,2,0.1714,0.7255685310387215
3137.68429952543,2,2,1,0.5076,0.1719038106945298
3138.390710936656,1,2,1,0.1714,0.7255685310387215
3142.9868653181493,2,1,2,0.5076,0.1719038106945298
3144.521043301361,1,2,1,0.1714,0.7255685310387215
3145.0332796664065,2,1,2,0.5076,0.1719038106945298
3145.6739304506573,2,2,1,0.5118,0.1762062077443147
3147.6366496661262,1,2,1,0.1714,0.7255685310387215
3148.497323520234,1,1,2,0.168,0.7257606023355869
3149.0664193300327,1,1,2,0.1653,0.7261831591886908
3149.2666725775116,2,1,2,0.5118,0.1762062077443147
3149.9899685130827,2,2,1,0.5075,0.16702519975414873
3152.131513404231,2,2,1,0.5087,0.1752458512599877
3152.5388878533786,2,2,1,0.5053,0.16472034419176398
3154.219326736062,2,1,2,0.5053,0.16472034419176398
3154.957552009842,1,1,2,0.1634,0.7250691456668715
3156.1978310132604,2,1,2,0.5053,0.16472034419176398
3156.7733133500988,1,2,1,0.1634,0.7250691456668715
3157.088695249919,2,1,2,0.5053,0.16472034419176398
3159.3009149931845,2,1,2,0.5053,0.16472034419176398
3159.3125189435536,2,2,1,0.5082,0.16863859864781808
3162.009511554151,1,1,2,0.1626,0.7300245851259988
3163.0356260449284,2,1,2,0.5082,0.16863859864781808
3163.1852154113344,2,2,1,0.5068,0.1726720958819914
3163.584330844274,1,2,1,0.1626,0.7300245851259988
3164.229226615365,1,1,2,0.167,0.7245697602950215
3166.071831069465,1,2,1,0.167,0.7245697602950215
3166.4852329369305,2,2,1,0.5054,0.17539950829748002
3166.526031330111,2,2,1,0.5085,0.17405500921942224
3168.280600803444,2,1,2,0.5085,0.17405500921942224
3168.422785880883,2,2,1,0.5091,0.16529655808236018
3170.627990201049,2,1,2,0.5091,0.16529655808236018
3171.089064890803,1,2,1,0.167,0.7245697602950215
3171.4443176368404,1,1,2,0.1584,0.7275276582667486
3171.9953117607206,2,2,1,0.5063,0.1598417332513829
3172.4257016980814,2,2,1,0.5053,0.1593423478795329
