time,bee1_id,bee2_id,task_id,task_1,task_2,task_3,task_4,task_5
597.5295534776359,2,1,3,0.1341,0.1577,0.10314228641671788,0.1118,0.0
598.0278605408481,5,2,1,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
598.1859800362844,1,3,4,0.098,0.1,0.06699446834665028,0.1,0.5281433152714807
598.6340421900585,5,1,5,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
598.9612327334306,5,3,2,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
600.0066453066722,4,2,2,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
600.4900711060408,5,1,5,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
601.3148183352904,1,3,4,0.098,0.1,0.06699446834665028,0.1,0.5281433152714807
601.8224662799441,4,5,5,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
602.4140423709895,4,3,4,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
602.76565016555,4,3,4,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
604.9436720602583,2,3,1,0.1341,0.1577,0.10314228641671788,0.1118,0.0
604.9464264161262,1,1,1,0.1028,0.0982,0.07878764597418562,0.079,0.03129492425080173
608.3250447764011,4,3,3,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
610.4774957300424,1,5,5,0.1028,0.0982,0.07878764597418562,0.079,0.03129492425080173
610.5137803718176,4,3,4,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
611.5756774916658,5,3,5,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
612.3416841001235,4,3,4,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
612.5786963737493,3,5,5,0.0787,0.1353,0.06780116779348494,0.7493,0.2138670795090125
612.9543066158603,1,4,3,0.1028,0.0982,0.07878764597418562,0.079,0.03129492425080173
613.3980584838487,1,1,1,0.3164,0.093,0.10625384142593731,0.0692,0.022669468096870506
614.6083988759825,2,1,1,0.1341,0.1577,0.10314228641671788,0.1118,0.0
614.8348957182916,4,5,4,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
615.4399589331298,1,3,4,0.3164,0.093,0.10625384142593731,0.0692,0.022669468096870506
616.3083301702543,3,5,5,0.0787,0.1353,0.06780116779348494,0.7493,0.2138670795090125
616.8994385110182,2,4,3,0.1341,0.1577,0.10314228641671788,0.1118,0.0
618.1259153013242,2,1,3,0.1341,0.1577,0.10314228641671788,0.1118,0.0
619.4879491191557,1,5,5,0.3164,0.093,0.10625384142593731,0.0692,0.022669468096870506
620.944528958128,1,4,3,0.3164,0.093,0.10625384142593731,0.0692,0.022669468096870506
621.3981018238695,1,3,4,0.3164,0.093,0.10625384142593731,0.0692,0.022669468096870506
622.851204758962,5,4,4,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
626.031422226494,1,4,3,0.3164,0.093,0.10625384142593731,0.0692,0.022669468096870506
627.3298922487687,3,2,1,0.0787,0.1353,0.06780116779348494,0.7493,0.2138670795090125
627.3324592714207,1,2,1,0.3164,0.093,0.10625384142593731,0.0692,0.022669468096870506
629.0232961478546,2,5,4,0.1341,0.1577,0.10314228641671788,0.1118,0.0
630.7026703599455,2,5,1,0.1341,0.1577,0.10314228641671788,0.1118,0.0
631.2024217656981,4,5,5,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
631.4047705888366,3,4,2,0.0787,0.1353,0.06780116779348494,0.7493,0.2138670795090125
632.9372031920798,1,3,4,0.3164,0.093,0.10625384142593731,0.0692,0.022669468096870506
633.3638026365645,4,3,4,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
634.666792806394,4,3,2,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
635.1147102992624,3,4,2,0.0787,0.1353,0.06780116779348494,0.7493,0.2138670795090125
636.1871323192295,1,3,4,0.3164,0.093,0.10625384142593731,0.0692,0.022669468096870506
636.3835935736594,5,2,1,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
637.6019143293294,4,5,5,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
638.178890174819,5,3,4,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
640.9764617030888,3,3,4,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
643.9568170422222,5,3,4,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
644.4122203195461,5,1,1,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
645.875106452818,5,1,1,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
647.0596493360107,2,2,5,0.0979,0.1011,0.06699446834665028,0.1,0.13977662280216743
647.3592824653125,5,2,2,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
647.4193966378947,3,1,1,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
648.8152646218267,3,1,1,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
649.0927500808579,3,5,5,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
649.480575334075,1,3,4,0.3164,0.093,0.10625384142593731,0.0692,0.022669468096870506
649.4928287102261,5,4,3,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
651.6222231745879,2,2,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
654.0035886208368,5,1,2,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
654.7558346573587,3,1,1,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
656.0517894883858,1,4,3,0.3164,0.093,0.10625384142593731,0.0692,0.022669468096870506
659.2300236548149,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
659.6247113703645,3,5,5,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
659.8672704494896,4,2,5,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
660.2691867160858,2,3,2,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
660.3673667892066,2,4,3,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
663.674807820436,2,3,4,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
664.1764669926373,3,5,5,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
665.1296220717113,5,4,2,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
665.5229469393345,5,3,4,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
666.2760820227307,1,3,4,0.3164,0.093,0.10625384142593731,0.0692,0.022669468096870506
668.2604083948821,2,4,3,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
670.2994696307107,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
670.3691970287284,2,1,2,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
671.2709850942214,1,5,5,0.3164,0.093,0.10625384142593731,0.0692,0.022669468096870506
672.5894977367851,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
672.6114740716015,4,2,3,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
673.0469021928833,5,3,4,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
673.3871747398124,2,5,2,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
673.7847430185458,1,3,4,0.3164,0.093,0.10625384142593731,0.0692,0.022669468096870506
674.1610890175016,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
674.7944291590345,5,3,4,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
675.3608748718752,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
675.5898312263682,1,4,3,0.3164,0.093,0.10625384142593731,0.0692,0.022669468096870506
677.9263407491587,5,3,4,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
679.0629204918331,1,2,4,0.3164,0.093,0.10625384142593731,0.0692,0.022669468096870506
681.4943172557302,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
681.7699735478554,1,1,2,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
682.0817566262057,3,5,5,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
682.1257528390098,4,2,5,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
685.3204820745048,5,2,1,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
686.3953418479836,3,2,5,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
686.9278937815467,2,5,1,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
689.3973121460972,5,4,4,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
689.9419024277692,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
691.0004206621223,1,4,2,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
691.479199853103,4,3,4,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
692.0923653640862,2,5,1,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
